"name","colors","date_entered","favorite","max_streak","cur_streak","numcards","numlands","numspells","numcreatures","disable","numenchant","numartifacts"
Angelic Army,White,2021-08-22,1,4,0,60,25,12,23,1,0,0
Armed and Dangerous,"White,Red",2021-08-24,0,5,0,60,24,17,19,1,0,0
Avalanche!,"Blue,Green",2021-08-25,0,7,1,60,26,13,21,1,0,0
Azure Skies,Blue,2021-08-17,1,4,1,60,25,10,25,1,0,0
Back for More,"Black,Green",2021-08-22,0,10,0,61,25,13,23,1,0,0
Company of Knights,"White,Red",2021-08-17,0,6,0,60,24,10,26,1,0,0
Destructive Firepower,Red,2021-08-22,1,5,0,60,25,13,22,1,0,0
Dream Den,"Black,White",2021-11-14,1,6,4,61,24,24,13,1,0,0
Dungeon Delving,"White,Black",2021-08-24,1,3,0,60,24,16,20,1,0,0
Fireworks,"Blue,Red",2021-08-24,1,3,0,60,25,16,19,1,0,0
Forest's Might,Green,2021-08-17,0,10,0,60,25,16,19,1,0,0
Growing Hunger,"Black,Green",2021-08-25,1,9,0,60,24,19,17,1,0,0
Large and in Charge,Green,2021-08-22,0,3,0,60,25,8,27,1,0,0
Life Skills,"White,Black",2021-08-17,1,3,0,60,25,16,19,1,0,0
Lifeline,"White,Green",2021-08-25,1,4,0,60,24,15,21,1,0,0
Line of Fire,"Black,Red",2021-08-22,0,4,0,60,24,13,23,1,0,0
Many Faced Rats,"White,Black",2022-04-09,1,2,0,60,18,16,22,1,0,0
Massive Menagerie,"Blue,Green",2021-08-22,1,2,0,60,26,15,19,1,0,0
Out for Blood,Black,2021-08-17,1,5,0,60,25,11,24,1,0,0
Savage Lands,"Red,Green",2021-08-24,0,4,0,60,26,12,22,1,34,15
Starry-Eyed,"White,Blue",2021-08-17,1,3,1,60,25,31,4,1,0,0
Stomp Stomp,"Red,Green",2021-08-17,0,5,0,60,24,12,24,1,0,0
Test,Blue,2022-03-20,1,0,0,0,0,0,0,1,0,0
To Adventure!,"White,Green",2021-08-22,1,8,0,60,25,4,31,1,0,0
Treasure Hunt,"Black,Red",2021-08-24,0,5,0,60,24,13,23,1,0,0
White Flame,"White,Red",2021-08-17,1,5,0,60,20,23,17,1,0,0
"Zalto, Fire Giant Duke",Red,2022-03-26,1,3,0,98,41,37,20,1,0,0
