"UID","Timestamp","results","cause","deck","opponent","level","game_type"
99391394686173184,2021-08-17 14:55:12.000,0,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173185,2021-08-17 14:55:43.000,0,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173186,2021-08-17 14:55:45.000,0,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173187,2021-08-17 14:56:39.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173188,2021-08-17 14:56:40.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173189,2021-08-17 14:56:41.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173190,2021-08-17 14:56:42.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173191,2021-08-17 14:56:43.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173192,2021-08-17 14:56:44.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173193,2021-08-17 14:56:45.000,1,Unknown,Aerial Domination,Unknown,Unknown,Historic Ranked
99391394686173194,2021-08-17 14:57:38.000,1,Unknown,Azure Skies,Unknown,Unknown,Historic Ranked
99391394686173195,2021-08-17 14:57:46.000,0,Unknown,Azure Skies,Unknown,Unknown,Historic Ranked
99391394686173196,2021-08-17 14:57:47.000,0,Unknown,Azure Skies,Unknown,Unknown,Historic Ranked
99391394686173197,2021-08-17 14:57:48.000,0,Unknown,Azure Skies,Unknown,Unknown,Historic Ranked
99391394686173198,2021-08-17 14:58:39.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173199,2021-08-17 14:58:40.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173200,2021-08-17 14:58:41.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173201,2021-08-17 14:58:42.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173202,2021-08-17 14:58:43.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173203,2021-08-17 14:58:44.000,0,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173204,2021-08-17 14:58:52.000,1,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173205,2021-08-17 14:58:53.000,1,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173206,2021-08-17 14:58:54.000,1,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173207,2021-08-17 14:58:55.000,1,Unknown,Company of Knights,Unknown,Unknown,Historic Ranked
99391394686173208,2021-08-17 15:09:21.000,1,Unknown,Fire Water,Unknown,Unknown,Historic Ranked
99391394686173209,2021-08-17 15:10:20.000,1,Unknown,Forest's Might,Unknown,Unknown,Historic Ranked
99391394686173210,2021-08-17 15:10:27.000,0,Unknown,Forest's Might,Unknown,Unknown,Historic Ranked
99391394686173211,2021-08-17 15:12:30.000,0,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173212,2021-08-17 15:12:31.000,0,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173213,2021-08-17 15:12:32.000,0,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173214,2021-08-17 15:12:33.000,0,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173215,2021-08-17 15:12:41.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173216,2021-08-17 15:12:42.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173217,2021-08-17 15:12:43.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173218,2021-08-17 15:12:44.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173219,2021-08-17 15:12:45.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173220,2021-08-17 15:12:46.000,1,Unknown,Goblins Everywhere,Unknown,Unknown,Historic Ranked
99391394686173221,2021-08-17 15:13:27.000,1,Unknown,Life Skills,Unknown,Unknown,Historic Ranked
99391394686173222,2021-08-17 15:14:05.000,1,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173223,2021-08-17 15:14:06.000,1,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173224,2021-08-17 15:14:07.000,1,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173225,2021-08-17 15:14:08.000,1,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173226,2021-08-17 15:14:09.000,1,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173227,2021-08-17 15:14:15.000,0,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173228,2021-08-17 15:14:16.000,0,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173229,2021-08-17 15:14:17.000,0,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173230,2021-08-17 15:14:18.000,0,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173231,2021-08-17 15:14:19.000,0,Unknown,Out for Blood,Unknown,Unknown,Historic Ranked
99391394686173232,2021-08-17 15:15:09.000,0,Unknown,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173233,2021-08-17 15:15:09.000,0,Unknown,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173234,2021-08-17 15:15:10.000,0,Unknown,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173235,2021-08-17 15:15:16.000,1,Unknown,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173236,2021-08-17 15:15:17.000,1,Unknown,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173237,2021-08-17 15:16:23.000,1,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173238,2021-08-17 15:16:24.000,1,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173239,2021-08-17 15:16:25.000,1,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173240,2021-08-17 15:16:26.000,1,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173241,2021-08-17 15:16:33.000,0,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173242,2021-08-17 15:16:34.000,0,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173243,2021-08-17 15:16:35.000,0,Unknown,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173244,2021-08-17 15:17:06.000,1,Unknown,Zendikar,Unknown,Unknown,Historic Ranked
99391394686173245,2021-08-17 20:24:43.000,1,Opponent caused all cards in hand to be discarded.,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173246,2021-08-17 20:25:19.000,1,Opponent destroyed creatures with spells.,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173247,2021-08-17 20:30:20.000,1,No Green Mana.,Stomp Stomp,Unknown,Unknown,Historic Ranked
99391394686173248,2021-08-17 20:54:28.000,1,Outplayed.,Starry-Eyed,Unknown,Unknown,Historic Ranked
99391394686173249,2021-08-17 20:54:43.000,0,Won.,Starry-Eyed,Unknown,Unknown,Historic Ranked
99392028848160768,2021-08-18 12:16:46.000,0,Won.,Starry-Eyed,Unknown,Unknown,Historic Ranked
99392028848160769,2021-08-18 12:16:47.000,0,Won.,Starry-Eyed,Unknown,Unknown,Historic Ranked
99392028848160770,2021-08-18 12:17:05.000,1,"Slow start, too much mana.",Starry-Eyed,Unknown,Unknown,Historic Ranked
99392028848160771,2021-08-18 12:35:41.000,1,Opponent had too many spells.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160772,2021-08-18 12:36:05.000,1,Opponent had replicating 4/4 flyers.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160773,2021-08-18 16:32:01.000,1,Opponent had mostly shrines.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160774,2021-08-18 16:32:18.000,1,Too much mana.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160775,2021-08-18 16:32:33.000,0,Won.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160776,2021-08-18 16:32:35.000,0,Won.,Azure Skies,Unknown,Unknown,Historic Ranked
99392028848160777,2021-08-19 12:12:31.000,0,Opponent quit.,White Flame,Unknown,Unknown,Historic Ranked
99392028848160778,2021-08-19 12:12:43.000,0,Won.,White Flame,Unknown,Unknown,Historic Ranked
99392028848160779,2021-08-19 12:12:46.000,0,Won.,White Flame,Unknown,Unknown,Historic Ranked
99392028848160780,2021-08-19 12:12:47.000,0,Won.,White Flame,Unknown,Unknown,Historic Ranked
99392028848160781,2021-08-19 13:42:25.000,0,Won.,White Flame,Unknown,Unknown,Historic Ranked
