"set_name","set_abbrev"
Innistrad: Midnight Hunt Substitute Cards,SMID
Midnight Hunt Commander,MIC
Commander Collection: Black,CC2
Innistrad: Midnight Hunt,MID
Innistrad: Midnight Hunt Promos,PMID
Innistrad: Midnight Hunt Tokens,TMID
Forgotten Realms Commander,AFC
Forgotten Realms Commander Tokens,TAFC
Modern Horizons 1 Timeshifts,RMH1
Historic Anthology 5,HA5
Wizards Play Network 2021,PWP21
Modern Horizons 2,MH2
Modern Horizons 2 Art Series,AMH2
Modern Horizons 2 Promos,PMH2
Modern Horizons 2 Tokens,TMH2
Adventures in the Forgotten Realms,AFR
Adventures in the Forgotten Realms Art Series,AAFR
Adventures in the Forgotten Realms Promos,PAFR
Adventures in the Forgotten Realms Tokens,TAFR
Commander 2021,C21
Commander 2021 Promos,PC21
Commander 2021 Tokens,TC21
Historic Anthology 4,HA4
Strixhaven Mystical Archive,STA
Strixhaven: School of Mages,STX
Strixhaven: School of Mages Promos,PSTX
Strixhaven: School of Mages Tokens,TSTX
"2021 Lunar New Year",PL21
Kaldheim,KHM
Kaldheim Art Series,AKHM
Kaldheim Promos,PKHM
Kaldheim Tokens,TKHM
Kaldheim Commander,KHC
Kaldheim Commander Promos,PKHC
Kaldheim Commander Tokens,TKHC
Zendikar Rising Commander,ZNC
Zendikar Rising Commander Tokens,TZNC
Time Spiral Remastered,TSR
Time Spiral Remastered Tokens,TTSR
The List,PLIST
Zendikar Rising Expeditions,ZNE
Zendikar Rising,ZNR
Zendikar Rising Art Series,AZNR
Zendikar Rising Promos,PZNR
Zendikar Rising Tokens,TZNR
Commander Collection: Green,CC1
Commander Legends,CMR
Commander Legends Tokens,TCMR
Amonkhet Remastered,AKR
Jumpstart,JMP
Core Set 2021,M21
Core Set 2021 Promos,PM21
Core Set 2021 Tokens,TM21
Double Masters,"2XM"
Double Masters Tokens,T2XM
Historic Anthology 3,HA3
Ikoria: Lair of Behemoths,IKO
Ikoria: Lair of Behemoths Promos,PIKO
Ikoria: Lair of Behemoths Tokens,TIKO
Commander 2020,C20
Commander 2020 Oversized,OC20
Commander 2020 Tokens,TC20
Secret Lair: Ultimate Edition,SLU
Signature Spellbook: Chandra,SS3
Mystery Booster Retail Edition Foils,FMB1
Unsanctioned Tokens,TUND
